names,out_1,out_2
YHR179W,0,0
YDL236W,0,0
YPL111W,1,1
YPR062W,0,0
YKL001C,0,0
YDL113C,0,0
YPL131W,0,0
YDR100W,1,1
YPL222W,0,0
YOR290C,0,0
YOR178C,1,1
YOR315W,0,0
YMR311C,1,1
YBR050C,0,0
YJL190C,0,0
YER145C,0,0
YHR071W,1,1
YER090W,0,0
YPR110C,0,0
YER103W,1,1
YBR190W,0,0
YOL059W,0,0
YER102W,0,0
YOR362C,0,0
YGL153W,0,0
YML007W,0,0
YPR167C,0,0
YLR432W,0,0
YDL078C,0,0
YIL160C,0,0
YPR102C,0,0
YHR198C,1,1
YLR284C,0,0
YHR053C,1,1
YHR055C,1,1
YIL045W,1,1
YMR005W,0,0
YER124C,0,0
YLR153C,0,0
YNL164C,0,0
YPR010C,0,0
YOR215C,0,0
YFR014C,0,0
YDL075W,0,0
YNL069C,0,0
YER056CA,0,0
YIL052C,0,0
YBR043C,0,0
YDL194W,0,0
